V,1,For 1d6 minutes the triggering creatures outline shimmers in prismatic light. They shed dim light in a 10-foot radius.
H,2,For 1d6 minutes all Stealth checks made by the triggering creature are at disadvantage. Even when silent faint echoes of their movements can be heard within 30 feet.
V,1,For 1d6 hours the triggering creatures hair and clothing constantly lift as if underwater.
B,2,For 1d6 rounds at the end of each of the triggering creatures turns an illusory duplicate lingers in their space until the start of their next turn. The first attack against them each round has a 25% chance to hit the duplicate instead.
H,1,For 1d10 rounds the triggering creature speaks in reverse order. All creatures must succeed on a DC 12 Insight check to understand them.
V,2,For 2 rounds at the start of each turn a random elemental burst (fire cold lightning acid) erupts in a 5-foot radius. Creatures in the area take 1d4 damage (Dex save against your casting DC for half).
V,1,For 1d6 days one non-magical object on the triggering creature becomes weightless and drifts lazily within 1 foot of them.
V,2,For 1d4 rounds at the start of each turn the triggering creature must succeed on a DC 12 Con save or expel a concussive sneeze pushing all creatures within 5 feet 5 feet away.
B,2,For 1d6 rounds the first creature the triggering creature deals damage to each round must succeed on a DC 12 Wis save or have disadvantage on its next attack.
V,1,For 1d6 hours harmless sparks crackle from the triggering creatures hands whenever they gesture occasionally forming tiny shapes that vanish instantly.
B,1,For 1d4 rounds whenever the triggering creature moves at least 10 feet in a straight line they bounce an extra 5 feet in that direction.
H,2,For 1d8 rounds whenever the triggering creature takes damage a booming echo repeats the sound. The next attack against them before the end of their next turn has advantage.
V,1,For 1d6 days faint glowing lines trace beneath the triggering creatures skin in shifting colors.
H,1,For 1d6 minutes all creatures within 10 feet of the triggering creature smell faint ozone and burning parchment. Whenever the triggering creature casts a spell each creature within 5 feet takes force damage equal to the spells level.
B,1,For 1d4 rounds the triggering creature falls 10 feet slower than normal and takes no falling damage from falls under 20 feet.
V,1,For 1d6 hours faint applause echoes whenever the triggering creature succeeds on an attack roll saving throw or ability check.
B,2,For 1d8 rounds once during the duration when the triggering creature casts a cantrip it repeats at half effect at the end of their turn.
V,1,For 1d6 hours the triggering creature tastes copper constantly. Food and drink are unpleasant but edible.
B,2,For 1d4 rounds the triggering creature can move through creatures as difficult terrain but cannot end their turn in another creatures space.
V,2,A wave of force expands 10 feet from the triggering creature. All creatures in range must succeed on a DC (10 + Spell level) Str save or be pushed 10 feet.
V,1,The triggering creatures shadow moves half a second out of sync permanently.
V,1,For 1d6 hours reflective surfaces within 30 feet show creatures performing slightly delayed or altered actions.
B,1,One ear of the triggering creature becomes detachable. They can hear from its location if it is within 30 feet. If lost it reappears attached after a long rest.
B,2,For 1d6 minutes the ground trembles within 10 feet of the triggering creature. That area is difficult terrain for all creatures except the triggering creature.
V,2,For 1d8 rounds the triggering creature has advantage on Charisma checks but disadvantage on Wisdom saving throws.
B,2,The triggering creature sheds a thin outer layer harmlessly and gains 10 temporary HP.
V,3,For 1d4 rounds at the start of each of the triggering creatures turns gravity briefly inverts in a 10-foot radius centered on them. All creatures in the area rise 10 feet unless they succeed on a DC 14 Dex save.
V,2,For 3 rounds whenever any creature within 10 feet of the triggering creature takes damage droplets of a random element spray outward. All adjacent creatures take 1d6 damage of that type (Dex save against your casting DC for half).
H,3,For 1d8 rounds the first time each creature within 30 feet draws or makes an attack with a weapon on their turn the weapon becomes a harmless slug until the start of their next turn.
V,2,For 1d6 minutes one limb of the triggering creature stretches elastically. Their reach increases by 5 feet but attack rolls with that limb suffer -1.
V,3,For 1d4 rounds the ground within 15 feet of the triggering creature behaves like soft clay. Creatures entering or starting their turn there must succeed on a DC 15 Str save or be restrained until the end of their next turn.
V,2,For 1d10 rounds the triggering creatures weight halves. Jump distance doubles but they have disadvantage on Strength checks and saves.
B,1,For 1d6 hours clothing worn by creatures within 10 feet subtly writhes. Once during this duration the clothing may impose disadvantage on one grapple attempt against its wearer.
V,3,For 3 rounds 1d4 random creatures within 30 feet become invisible.
B,3,For 3 rounds 1d4 creatures of the triggering creatures choice within 30 feet become invisible.
H,3,For 3 rounds 1d4 random enemies within 30 feet become invisible.
V,2,For 1d8 rounds whenever a creature within 15 feet speaks a harmless frog pops out of their mouth and lands nearby.
B,3,The triggering creature gains a semi-real duplicate in its space. The first attack that would hit them instead destroys the duplicate.
V,1,For 1d6 hours faint musical chimes sound when the triggering creature or any creature within 5 feet moves.
B,3,For 1d4 rounds the triggering creature gains resistance to bludgeoning piercing and slashing damage but their speed is halved.
H,2,For 4 rounds small stones within 20 feet animate briefly. The first creature to move more than 10 feet each round takes 1d6 bludgeoning damage.
B,3,A CR 4 aberration appears in an unoccupied space within 30 feet. It acts immediately after the triggering creature in initiative and remains for 3d6 rounds or until reduced to 0 HP.(Friendly)
H,3,A CR 4 aberration appears in an unoccupied space within 30 feet. It acts immediately after the triggering creature in initiative and remains for 3d6 rounds or until reduced to 0 HP.(Hostile)
V,2,For 1d6 rounds whenever the triggering creature casts a spell that targets only one creature it also targets a second random creature within range at half effect.
V,2,When the triggering spell resolves lightning arcs to one random creature within 20 feet of the primary target for 2d6 lightning damage.
V,2,Three CR 1 creatures appear in unoccupied spaces within 30 feet. They remain for 1d6 minutes.
B,3,At the start of the triggering creatures next turn the triggering spell repeats at its original level without consuming a spell slot.
